Date,City,District,Price
2018-09-01,Vilnius,Kairėnai,1155.09
2020-07-01,Vilnius,Kairėnai,1600.88
2019-06-01,Vilnius,Kairėnai,1226.03
2020-08-01,Vilnius,Kairėnai,1600.88
2018-12-01,Vilnius,Zujūnai,1497.95
2019-12-01,Vilnius,Zujūnai,1345.37
2020-10-01,Vilnius,Zujūnai,1362.5
2019-10-01,Vilnius,Zujūnai,1393.29
2019-04-01,Vilnius,Zujūnai,1310.66
2019-09-01,Vilnius,Zujūnai,1392.27
2018-10-01,Vilnius,Zujūnai,1724.21
2019-06-01,Vilnius,Zujūnai,1359.92
2018-07-01,Vilnius,Zujūnai,929.97
2018-09-01,Vilnius,Zujūnai,978.35
2020-03-01,Vilnius,Zujūnai,1341.94
2019-01-01,Vilnius,Zujūnai,1369.35
2020-05-01,Vilnius,Zujūnai,910.17
2019-08-01,Vilnius,Zujūnai,1356.18
2019-05-01,Vilnius,Zujūnai,1357.08
2020-04-01,Vilnius,Zujūnai,910.17
2018-05-01,Vilnius,Zujūnai,814.04
2018-06-01,Vilnius,Zujūnai,785.61
2020-09-01,Vilnius,Zujūnai,1362.5
2020-01-01,Vilnius,Zujūnai,1344.32
2018-04-01,Vilnius,Zujūnai,726.64
2018-08-01,Vilnius,Zujūnai,957.11
2020-08-01,Vilnius,Zujūnai,1177.95
2019-02-01,Vilnius,Zujūnai,1258.82
2020-02-01,Vilnius,Zujūnai,1291.22
2019-07-01,Vilnius,Zujūnai,1050.61
2019-03-01,Vilnius,Zujūnai,1325.62
2018-11-01,Vilnius,Zujūnai,1765.12
2020-07-01,Vilnius,Zujūnai,910.17
2020-11-01,Vilnius,Zujūnai,1362.5
2019-11-01,Vilnius,Zujūnai,1469.21
2020-05-01,Vilnius,Kirtimai,1042.55
2019-02-01,Vilnius,Kirtimai,577.99
2019-08-01,Vilnius,Kirtimai,854.12
2019-07-01,Vilnius,Kirtimai,859.11
2019-04-01,Vilnius,Kirtimai,949.02
2020-10-01,Vilnius,Kirtimai,1195.36
2020-11-01,Vilnius,Kirtimai,1354.34
2018-05-01,Vilnius,Kirtimai,1323.53
2020-02-01,Vilnius,Kirtimai,768.71
2022-06-01,Vilnius,Kirtimai,1608.0
2020-03-01,Vilnius,Kirtimai,1014.59
2019-09-01,Vilnius,Kirtimai,854.12
2019-06-01,Vilnius,Kirtimai,856.92
2018-08-01,Vilnius,Kirtimai,778.8
2017-12-01,Vilnius,Kirtimai,1295.59
2018-06-01,Vilnius,Kirtimai,1302.46
2018-07-01,Vilnius,Kirtimai,988.96
2020-04-01,Vilnius,Kirtimai,1042.55
2018-01-01,Vilnius,Kirtimai,1250.47
2019-05-01,Vilnius,Kirtimai,1185.3
2019-10-01,Vilnius,Kirtimai,854.12
2018-02-01,Vilnius,Kirtimai,1235.29
2021-05-01,Vilnius,Paupys,4075.69
2021-02-01,Vilnius,Paupys,3312.53
2021-12-01,Vilnius,Paupys,4041.34
2022-05-01,Vilnius,Paupys,4425.57
2021-08-01,Vilnius,Paupys,4291.39
2022-03-01,Vilnius,Paupys,5113.12
2020-12-01,Vilnius,Paupys,2945.38
2022-08-01,Vilnius,Paupys,5624.45
2022-06-01,Vilnius,Paupys,4798.32
2022-01-01,Vilnius,Paupys,4721.57
2021-04-01,Vilnius,Paupys,4101.71
2022-04-01,Vilnius,Paupys,4592.26
2021-10-01,Vilnius,Paupys,4193.38
2021-03-01,Vilnius,Paupys,3725.81
2021-09-01,Vilnius,Paupys,4133.37
2021-07-01,Vilnius,Paupys,4388.93
2021-01-01,Vilnius,Paupys,3052.36
2021-06-01,Vilnius,Paupys,4354.0
2022-07-01,Vilnius,Paupys,5164.08
2021-11-01,Vilnius,Paupys,4005.52
2022-02-01,Vilnius,Paupys,5073.62
2020-08-01,Vilnius,Gudeliai,2375.0
2021-02-01,Vilnius,Gudeliai,2466.67
2020-07-01,Vilnius,Gudeliai,2375.0
2017-12-01,Vilnius,Turniškės,3281.55
2020-05-01,Vilnius,Turniškės,2240.46
2020-11-01,Vilnius,Turniškės,2431.2
2020-01-01,Vilnius,Turniškės,2470.94
2020-03-01,Vilnius,Turniškės,2376.83
2020-08-01,Vilnius,Turniškės,2168.28
2018-03-01,Vilnius,Turniškės,3185.56
2020-04-01,Vilnius,Turniškės,2269.86
2019-10-01,Vilnius,Turniškės,2531.13
2019-12-01,Vilnius,Turniškės,2486.42
2018-10-01,Vilnius,Turniškės,3312.94
2019-01-01,Vilnius,Turniškės,2959.77
2020-07-01,Vilnius,Turniškės,2188.89
2018-09-01,Vilnius,Turniškės,3235.34
2019-03-01,Vilnius,Turniškės,2601.34
2019-07-01,Vilnius,Turniškės,2703.62
2018-06-01,Vilnius,Turniškės,3281.76
2020-02-01,Vilnius,Turniškės,2450.31
2019-09-01,Vilnius,Turniškės,2596.15
2021-02-01,Vilnius,Turniškės,3590.99
2018-05-01,Vilnius,Turniškės,3138.35
