Date,City,District,Price
2020-04-01,Kaunas,Centras,6.91
2018-05-01,Kaunas,Centras,5.72
2019-11-01,Kaunas,Centras,7.67
2019-02-01,Kaunas,Dainava,10.88
2018-10-01,Kaunas,Dainava,5.6
2019-03-01,Kaunas,Dainava,9.71
2020-10-01,Kaunas,Dainava,2.96
2019-11-01,Kaunas,Dainava,2.39
2020-03-01,Kaunas,Dainava,7.96
2020-05-01,Kaunas,Dainava,6.61
2019-04-01,Kaunas,Dainava,9.2
2021-03-01,Kaunas,Dainava,4.87
2020-12-01,Kaunas,Dainava,5.92
2018-04-01,Kaunas,Dainava,10.0
2018-09-01,Kaunas,Dainava,5.57
2021-02-01,Kaunas,Dainava,4.99
2021-01-01,Kaunas,Dainava,5.2
2020-09-01,Kaunas,Dainava,3.75
2018-11-01,Kaunas,Dainava,4.87
2020-02-01,Kaunas,Dainava,7.86
2019-01-01,Kaunas,Dainava,12.92
2019-12-01,Kaunas,Dainava,13.4
2018-03-01,Kaunas,Dainava,9.66
2018-12-01,Kaunas,Dainava,7.67
2018-02-01,Kaunas,Dainava,10.05
2019-09-01,Kaunas,Dainava,6.61
2020-08-01,Kaunas,Dainava,5.09
2020-01-01,Kaunas,Dainava,11.11
2019-08-01,Kaunas,Dainava,5.69
2018-05-01,Kaunas,Dainava,7.83
2018-01-01,Kaunas,Dainava,10.77
2020-06-01,Kaunas,Dainava,6.37
2021-03-01,Kaunas,Eiguliai,1.27
2020-06-01,Kaunas,Eiguliai,4.27
2019-10-01,Kaunas,Eiguliai,5.01
2019-08-01,Kaunas,Eiguliai,5.75
2020-10-01,Kaunas,Eiguliai,6.63
2020-03-01,Kaunas,Eiguliai,4.49
2021-02-01,Kaunas,Eiguliai,1.27
2019-09-01,Kaunas,Eiguliai,5.06
2020-04-01,Kaunas,Eiguliai,4.33
2020-07-01,Kaunas,Aukštieji Šančiai,9.66
2021-02-01,Kaunas,Aukštieji Šančiai,8.7
2020-09-01,Kaunas,Aukštieji Šančiai,6.61
2021-03-01,Kaunas,Aukštieji Šančiai,8.7
2021-01-01,Kaunas,Aukštieji Šančiai,8.7
2020-08-01,Kaunas,Aukštieji Šančiai,8.07
2020-12-01,Kaunas,Aukštieji Šančiai,8.7
2020-06-01,Kaunas,Aukštutiniai Kaniūkai,3.23
2019-02-01,Kaunas,Aukštutiniai Kaniūkai,4.76
2019-03-01,Kaunas,Aukštutiniai Kaniūkai,4.46
2018-07-01,Kaunas,Aukštutiniai Kaniūkai,7.27
2020-07-01,Kaunas,Aukštutiniai Kaniūkai,3.23
2018-06-01,Kaunas,Aukštutiniai Kaniūkai,7.27
2020-09-01,Palanga,Palanga,7.01
2020-10-01,Palanga,Palanga,6.17
2018-09-01,Palanga,Šventoji,4.03
2018-08-01,Palanga,Šventoji,4.36
2020-07-01,Palanga,Šventoji,9.15
